帖子ID,平台ID,平台名称,媒体类型
WB_202408150106_3358,P_0,微博,微博
WB_202408151022_3359,P_0,微博,微博
WB_202408142238_3360,P_0,微博,微博
WB_202408151319_3361,P_0,微博,微博
JRTT_202408150852_3362,P_3,今日头条,客户端
WB_202408151546_3363,P_0,微博,微博
DY_202408151154_3364,P_2,抖音,视频
WB_202408151326_3365,P_0,微博,微博
WB_202408152335_3366,P_0,微博,微博
WB_202408152308_3367,P_0,微博,微博
WB_202408141847_3368,P_0,微博,微博
WB_202408151225_3369,P_0,微博,微博
DY_202408142244_3370,P_2,抖音,视频
JRTT_202408152132_3371,P_3,今日头条,客户端
DY_202408141836_3372,P_2,抖音,视频
WB_202408151506_3373,P_0,微博,微博
WB_202408152251_3374,P_0,微博,微博
DY_202408161129_3375,P_2,抖音,视频
JRTT_202408162027_3379,P_3,今日头条,视频
WB_202408151741_3380,P_0,微博,微博
WB_202408150852_3381,P_0,微博,微博
JRTT_202408141833_3382,P_3,今日头条,客户端
WB_202408150826_3386,P_0,微博,微博
WB_202408160412_3387,P_0,微博,微博
WB_202408151542_3388,P_0,微博,微博
DY_202408151012_3390,P_2,抖音,视频
WB_202408142217_3391,P_0,微博,微博
WB_202408151749_3393,P_0,微博,微博
WB_202408151024_3395,P_0,微博,微博
JRTT_202408142322_3398,P_3,今日头条,客户端
WB_202408151311_3400,P_0,微博,微博
JRTT_202408142036_3402,P_3,今日头条,客户端
WB_202408150233_3404,P_0,微博,微博
WB_202408151123_3405,P_0,微博,微博
WB_202408141717_3408,P_0,微博,微博
DY_202408151519_3409,P_2,抖音,视频
XHS_202408151208_3410,P_1,小红书,客户端
JRTT_202408141446_3412,P_3,今日头条,客户端
DY_202408151202_3413,P_2,抖音,视频
JRTT_202408151432_3415,P_3,今日头条,客户端
WB_202408151311_3416,P_0,微博,微博
WB_202408141627_3417,P_0,微博,微博
DY_202408150811_3418,P_2,抖音,视频
DY_202408161438_3419,P_2,抖音,视频
WB_202408141933_3420,P_0,微博,微博
WB_202408151220_3422,P_0,微博,微博
WB_202408150127_3423,P_0,微博,微博
JRTT_202408142344_3424,P_3,今日头条,视频
JRTT_202408141523_3425,P_3,今日头条,客户端
JRTT_202408141759_3428,P_3,今日头条,视频
JRTT_202408141644_3429,P_3,今日头条,客户端
JRTT_202408151018_3430,P_3,今日头条,客户端
WYXW_202408142256_3431,P_5,网易新闻,客户端
WB_202408142240_3432,P_0,微博,微博
DY_202408161220_3433,P_2,抖音,视频
DY_202408151527_3434,P_2,抖音,视频
WB_202408141905_3436,P_0,微博,微博
WB_202408152001_3438,P_0,微博,微博
DY_202408152035_3440,P_2,抖音,视频
JRTT_202408141454_3443,P_3,今日头条,客户端
JRTT_202408150914_3444,P_3,今日头条,客户端
WB_202408150902_3445,P_0,微博,微博
WB_202408150617_3447,P_0,微博,微博
DY_202408151449_3449,P_2,抖音,视频
WB_202408150801_3450,P_0,微博,微博
WB_202408152240_3451,P_0,微博,微博
WB_202408150703_3452,P_0,微博,微博
DY_202408171922_3454,P_2,抖音,视频
KS_202408141819_3457,P_4,快手,视频
KS_202408162351_3459,P_4,快手,视频
WB_202408151509_3460,P_0,微博,微博
DY_202408152344_3461,P_2,抖音,视频
KS_202408151415_3462,P_4,快手,视频
WB_202408151905_3463,P_0,微博,微博
WB_202408152033_3465,P_0,微博,微博
WB_202408160202_3466,P_0,微博,微博
WB_202408142131_3467,P_0,微博,微博
WB_202408150931_3470,P_0,微博,微博
DY_202408151530_3471,P_2,抖音,视频
JRTT_202408161712_3473,P_3,今日头条,客户端
WB_202408160859_3474,P_0,微博,微博
DY_202408150725_3475,P_2,抖音,视频
WYXW_202408151139_3476,P_5,网易新闻,客户端
JRTT_202408171425_3477,P_3,今日头条,客户端
DY_202408150022_3478,P_2,抖音,视频
DY_202408151251_3479,P_2,抖音,视频
WB_202408150000_3480,P_0,微博,微博
JRTT_202408151404_3481,P_3,今日头条,客户端
JRTT_202408142139_3483,P_3,今日头条,客户端
DY_202408171203_3485,P_2,抖音,视频
DY_202408160735_3486,P_2,抖音,视频
DY_202408151358_3489,P_2,抖音,视频
DY_202409112359_3490,P_2,抖音,视频
DY_202409072211_3491,P_2,抖音,视频
DY_202409132147_3493,P_2,抖音,视频
DY_202409101942_3494,P_2,抖音,视频
WB_202409101053_3495,P_0,微博,微博
